aircraft_id,flight_date,cabin_component,issue_type,severity,failure_flag,repair_time_hours,maintenance_cost_usd,airport_code
A320_16,2023-05-15,Lavatory,Electrical,Low,0,0.0,0.0,HYD
A320_14,2023-06-07,Galley,Software,Medium,0,0.0,0.0,BOM
A320_1,2023-10-11,Seat,Electrical,Low,0,0.0,0.0,BOM
A320_17,2023-01-17,Lighting,Mechanical,Low,0,0.0,0.0,MAA
A320_9,2023-02-06,Galley,Electrical,Medium,1,9.68322078091486,4821.7378877373385,BLR
A320_1,2023-09-13,Lavatory,Mechanical,Low,0,0.0,0.0,DEL
A320_3,2023-12-26,IFE,Software,Medium,1,3.907144422313557,1345.40188044172,DEL
A320_17,2023-04-14,Seat,Electrical,High,1,7.234654470646126,2808.817886848748,DEL
A320_3,2023-11-02,Seat,Electrical,Medium,1,0.5492561963528744,3176.682633248317,HYD
A320_14,2023-05-22,Lighting,Software,High,0,0.0,0.0,HYD
A320_19,2023-06-02,IFE,Software,Medium,0,0.0,0.0,MAA
A320_17,2023-06-29,IFE,Mechanical,High,1,3.9218110934069976,722.5965119942355,BLR
A320_12,2023-04-18,Galley,Software,Medium,1,0.9909763511017732,2703.637694683925,BOM
A320_20,2023-05-24,Galley,Mechanical,Medium,0,0.0,0.0,BOM
A320_19,2023-04-02,IFE,Software,Medium,1,0.7408320624468463,4816.977231921833,BLR
A320_1,2023-02-27,IFE,Electrical,High,0,0.0,0.0,DEL
A320_16,2023-03-30,Galley,Electrical,Low,0,0.0,0.0,MAA
A320_5,2023-10-05,Galley,Software,High,1,2.853444400260996,1844.2661253911815,MAA
A320_14,2023-08-08,Galley,Software,Low,0,0.0,0.0,HYD
A320_16,2023-08-06,IFE,Electrical,High,0,0.0,0.0,HYD
A320_5,2023-01-23,IFE,Mechanical,Medium,0,0.0,0.0,MAA
A320_20,2023-08-11,IFE,Mechanical,High,1,5.2797944565108335,4296.800221822779,MAA
A320_16,2023-10-07,IFE,Electrical,High,0,0.0,0.0,HYD
A320_18,2023-06-12,Lighting,Electrical,Low,0,0.0,0.0,MAA
A320_5,2023-09-25,Lavatory,Electrical,Low,0,0.0,0.0,DEL
A320_13,2023-01-12,IFE,Electrical,High,0,0.0,0.0,DEL
A320_17,2023-03-31,Galley,Mechanical,Medium,0,0.0,0.0,DEL
A320_19,2023-04-15,Lighting,Mechanical,Low,0,0.0,0.0,DEL
A320_4,2023-08-05,Galley,Electrical,Low,0,0.0,0.0,HYD
A320_9,2023-07-11,Lavatory,Electrical,High,0,0.0,0.0,HYD
A320_7,2023-04-06,Galley,Electrical,High,0,0.0,0.0,MAA
A320_3,2023-12-27,Seat,Electrical,Medium,1,5.217331311489238,2009.128622474097,MAA
A320_17,2023-04-10,Lighting,Electrical,Low,1,8.547859868908104,1839.035433267331,HYD
A320_20,2023-12-05,IFE,Software,Low,1,1.3711893989555703,3051.960536915483,HYD
A320_4,2023-02-22,Seat,Software,Low,0,0.0,0.0,MAA
A320_7,2023-08-11,IFE,Electrical,High,0,0.0,0.0,MAA
A320_18,2023-08-27,Lighting,Electrical,Medium,0,0.0,0.0,DEL
A320_6,2023-01-07,Galley,Mechanical,Low,0,0.0,0.0,DEL
A320_2,2023-01-05,Galley,Electrical,Medium,1,9.873075995761166,1933.9268992049892,BLR
A320_17,2023-11-23,Seat,Electrical,Medium,1,7.227721358040398,2460.168241024165,HYD
A320_10,2023-12-12,Lavatory,Software,Medium,0,0.0,0.0,BOM
A320_18,2023-08-08,IFE,Electrical,High,0,0.0,0.0,BLR
A320_3,2023-12-14,Seat,Software,Low,1,1.2874675560868651,2689.013594356325,MAA
A320_12,2023-06-22,Galley,Electrical,High,1,8.965859580131676,2685.735434522869,BOM
A320_4,2023-08-15,Lavatory,Electrical,Medium,1,2.0790466031379027,1162.364622273807,BLR
A320_3,2023-05-24,Seat,Software,Medium,0,0.0,0.0,HYD
A320_8,2023-05-02,Lighting,Mechanical,Medium,0,0.0,0.0,HYD
A320_5,2023-02-10,Lighting,Software,Medium,0,0.0,0.0,BLR
A320_20,2023-08-08,Galley,Electrical,Medium,0,0.0,0.0,BOM
A320_18,2023-09-13,Galley,Software,Low,1,4.473308844760879,4670.369568434665,DEL
A320_5,2023-04-29,Seat,Mechanical,Low,0,0.0,0.0,DEL
A320_17,2023-09-24,Galley,Mechanical,High,1,4.233399765299161,4162.9046814619205,BLR
A320_2,2023-04-15,Lavatory,Software,Low,1,0.6298836658564742,469.2593957270653,HYD
A320_5,2023-12-24,Lavatory,Electrical,High,1,7.805380444214849,4729.352076423897,DEL
A320_14,2023-01-01,Lavatory,Electrical,Low,0,0.0,0.0,HYD
A320_17,2023-10-15,IFE,Software,High,0,0.0,0.0,DEL
A320_3,2023-11-02,Lighting,Electrical,Medium,0,0.0,0.0,HYD
A320_17,2023-04-22,Galley,Electrical,Medium,0,0.0,0.0,DEL
A320_7,2023-07-11,Lighting,Mechanical,Medium,1,6.276834570647909,3219.5571759491845,BOM
A320_2,2023-11-04,Seat,Mechanical,Low,0,0.0,0.0,HYD
A320_10,2023-02-20,Seat,Electrical,Low,0,0.0,0.0,HYD
A320_17,2023-11-26,Seat,Electrical,Medium,0,0.0,0.0,MAA
A320_11,2023-02-12,Lavatory,Software,High,0,0.0,0.0,BLR
A320_16,2023-04-05,Lavatory,Mechanical,Low,0,0.0,0.0,BOM
A320_18,2023-03-02,IFE,Software,High,1,8.307011050022268,1790.904876329695,DEL
A320_6,2023-01-01,Galley,Electrical,Medium,0,0.0,0.0,DEL
A320_13,2023-03-14,IFE,Electrical,High,0,0.0,0.0,BLR
A320_11,2023-11-15,Galley,Electrical,Medium,0,0.0,0.0,HYD
A320_17,2023-12-21,Galley,Software,High,1,4.019484976518129,2474.1626274360046,DEL
A320_14,2023-08-04,IFE,Electrical,Medium,1,0.84849042746068,1336.9410272857017,BOM
A320_14,2023-12-29,Lighting,Electrical,Medium,1,4.750417484822819,2709.8246056296134,BLR
A320_10,2023-02-08,Seat,Electrical,High,1,1.3474411227645338,2723.1442636760653,BLR
A320_20,2023-01-25,Lighting,Mechanical,High,1,6.663816982769972,2449.952298595826,HYD
A320_2,2023-04-21,Seat,Software,Medium,0,0.0,0.0,BLR
A320_20,2023-10-09,IFE,Software,High,0,0.0,0.0,MAA
A320_1,2023-05-30,Galley,Mechanical,Medium,0,0.0,0.0,HYD
A320_9,2023-09-04,Lavatory,Software,High,1,4.398769856401785,4913.655222852171,DEL
A320_11,2023-01-04,Seat,Mechanical,Medium,0,0.0,0.0,BOM
A320_2,2023-12-01,Lavatory,Mechanical,High,1,8.466534307674936,1104.8800447323497,DEL
A320_19,2023-07-31,Seat,Electrical,High,0,0.0,0.0,BLR
A320_6,2023-10-20,Lavatory,Software,Low,0,0.0,0.0,BOM
A320_6,2023-06-27,IFE,Electrical,High,0,0.0,0.0,DEL
A320_13,2023-06-17,IFE,Electrical,High,1,6.974275861127328,3825.116513459464,BOM
A320_6,2023-04-04,Seat,Electrical,Medium,0,0.0,0.0,HYD
A320_14,2023-05-17,IFE,Software,High,1,9.301269524102256,3635.823098681258,HYD
A320_8,2023-09-24,Seat,Electrical,Medium,1,8.095602743735398,4143.150115794706,MAA
A320_14,2023-03-03,Lighting,Electrical,Low,1,6.088913420053038,3446.612110743949,BOM
A320_1,2023-01-23,Seat,Electrical,Low,0,0.0,0.0,BLR
A320_2,2023-11-05,Lavatory,Software,High,0,0.0,0.0,BOM
A320_8,2023-02-11,Lighting,Software,High,0,0.0,0.0,MAA
A320_7,2023-06-06,Seat,Electrical,Low,0,0.0,0.0,MAA
A320_1,2023-09-11,Lighting,Mechanical,Medium,1,7.74335751453656,4396.151620132572,BLR
A320_13,2023-06-08,Lighting,Electrical,High,0,0.0,0.0,MAA
A320_15,2023-11-20,Lighting,Electrical,Medium,0,0.0,0.0,BOM
A320_19,2023-10-19,IFE,Software,High,0,0.0,0.0,MAA
A320_10,2023-12-26,IFE,Mechanical,High,1,1.9568383296027616,2972.5261768823066,DEL
A320_15,2023-04-14,Lighting,Software,Low,0,0.0,0.0,MAA
A320_10,2023-04-02,IFE,Electrical,Medium,1,1.234550122143479,610.8101336538666,BLR
A320_1,2023-10-29,Galley,Electrical,Medium,1,8.469531821236373,710.8471378960076,BLR
A320_19,2023-05-29,Seat,Electrical,Low,0,0.0,0.0,DEL
A320_9,2023-10-18,Lighting,Electrical,Medium,1,9.238628355921223,1797.09537239321,DEL
A320_17,2023-05-08,Lavatory,Software,High,0,0.0,0.0,BOM
A320_7,2023-06-29,Galley,Electrical,Low,0,0.0,0.0,MAA
A320_18,2023-02-18,Seat,Electrical,Low,0,0.0,0.0,HYD
A320_8,2023-02-18,Seat,Electrical,Medium,0,0.0,0.0,BOM
A320_19,2023-11-14,Galley,Electrical,Low,0,0.0,0.0,MAA
A320_8,2023-01-19,IFE,Electrical,Medium,0,0.0,0.0,BOM
A320_2,2023-04-23,IFE,Mechanical,Medium,0,0.0,0.0,BOM
A320_1,2023-09-21,Galley,Software,High,0,0.0,0.0,BOM
A320_10,2023-06-11,Lighting,Electrical,High,0,0.0,0.0,HYD
A320_7,2023-12-15,Seat,Electrical,High,1,2.911941358411391,1060.9541884979187,MAA
A320_15,2023-08-17,Lavatory,Software,Low,0,0.0,0.0,HYD
A320_2,2023-10-18,Lavatory,Electrical,Medium,0,0.0,0.0,MAA
A320_16,2023-01-07,IFE,Software,Low,0,0.0,0.0,MAA
A320_19,2023-02-05,Galley,Mechanical,Medium,0,0.0,0.0,BLR
A320_20,2023-01-11,IFE,Software,Medium,1,3.94906251585336,267.7177430205927,HYD
A320_6,2023-09-13,Seat,Mechanical,Low,0,0.0,0.0,HYD
A320_12,2023-10-07,Seat,Mechanical,Medium,0,0.0,0.0,BOM
A320_17,2023-04-25,Seat,Mechanical,Low,1,5.645525039278236,3204.043277148121,BLR
A320_11,2023-01-04,IFE,Mechanical,Low,0,0.0,0.0,MAA
A320_5,2023-03-16,IFE,Electrical,Medium,0,0.0,0.0,HYD
A320_2,2023-01-17,Galley,Electrical,Medium,0,0.0,0.0,DEL
A320_10,2023-12-08,Galley,Software,Low,1,3.031734737023381,3687.7044344494057,DEL
A320_7,2023-06-22,Seat,Mechanical,Low,0,0.0,0.0,HYD
A320_14,2023-03-05,IFE,Mechanical,High,1,2.2515237464501503,542.6511068302786,BOM
A320_11,2023-10-23,Lavatory,Electrical,High,0,0.0,0.0,BOM
A320_15,2023-06-01,Galley,Electrical,Medium,1,0.7962397830822043,1385.093817069143,BOM
A320_17,2023-12-31,Lavatory,Mechanical,Low,1,7.823665935585308,622.3314403554818,BLR
A320_1,2023-08-05,Galley,Software,Medium,0,0.0,0.0,BLR
A320_3,2023-08-17,Lighting,Software,Medium,0,0.0,0.0,DEL
A320_5,2023-02-13,Lavatory,Software,Low,0,0.0,0.0,MAA
A320_17,2023-10-30,Lighting,Mechanical,High,1,7.456136420890831,4052.149624521104,MAA
A320_6,2023-07-19,Seat,Mechanical,Low,0,0.0,0.0,HYD
A320_9,2023-12-31,IFE,Software,Medium,0,0.0,0.0,BLR
A320_7,2023-09-27,Galley,Software,Low,0,0.0,0.0,BOM
A320_18,2023-11-11,Galley,Mechanical,High,1,8.689405184398478,4238.292052821845,DEL
A320_7,2023-09-30,Lavatory,Electrical,Medium,0,0.0,0.0,BOM
A320_8,2023-07-02,Lighting,Software,High,0,0.0,0.0,BLR
A320_13,2023-07-29,Seat,Electrical,Medium,0,0.0,0.0,HYD
A320_3,2023-06-19,IFE,Mechanical,High,0,0.0,0.0,MAA
A320_3,2023-02-08,Lighting,Electrical,Medium,0,0.0,0.0,BLR
A320_12,2023-07-04,Lighting,Software,Low,0,0.0,0.0,DEL
A320_7,2023-12-06,Galley,Electrical,Medium,0,0.0,0.0,BLR
A320_14,2023-06-07,IFE,Mechanical,Medium,0,0.0,0.0,MAA
A320_1,2023-03-14,Seat,Electrical,High,0,0.0,0.0,DEL
A320_5,2023-07-17,Lavatory,Mechanical,Low,1,9.89725664322691,3742.4288321787594,HYD
A320_20,2023-12-15,Galley,Software,Low,0,0.0,0.0,DEL
A320_9,2023-08-29,IFE,Software,Medium,0,0.0,0.0,MAA
A320_15,2023-08-03,Seat,Electrical,High,0,0.0,0.0,HYD
A320_10,2023-06-27,IFE,Mechanical,Low,1,1.962011110228623,4097.582312454028,MAA
A320_15,2023-03-30,Seat,Mechanical,Low,0,0.0,0.0,DEL
A320_3,2023-05-03,Lighting,Electrical,Low,0,0.0,0.0,BOM
A320_12,2023-06-19,Seat,Software,Low,1,5.733145020786823,526.2351235659097,HYD
A320_8,2023-09-08,Galley,Mechanical,Medium,0,0.0,0.0,MAA
A320_13,2023-10-11,Galley,Electrical,Low,0,0.0,0.0,DEL
A320_19,2023-07-05,Lavatory,Mechanical,High,0,0.0,0.0,MAA
A320_6,2023-08-04,Lavatory,Electrical,High,0,0.0,0.0,BOM
A320_13,2023-12-29,Galley,Electrical,Low,0,0.0,0.0,DEL
A320_6,2023-07-07,Galley,Software,Low,0,0.0,0.0,DEL
A320_10,2023-06-09,Lavatory,Electrical,Medium,0,0.0,0.0,DEL
A320_14,2023-03-18,Galley,Software,Medium,1,3.2268622651616714,3122.9419000411367,BLR
A320_8,2023-08-11,IFE,Electrical,High,0,0.0,0.0,BOM
A320_10,2023-08-21,IFE,Software,High,1,9.354267002345166,602.2976671543283,HYD
A320_4,2023-08-30,Lighting,Software,Low,0,0.0,0.0,HYD
A320_10,2023-07-12,IFE,Software,Medium,0,0.0,0.0,DEL
A320_15,2023-10-12,Lighting,Software,High,1,6.146760662671181,1979.7000759875468,MAA
A320_6,2023-03-20,Lavatory,Software,Medium,0,0.0,0.0,DEL
A320_2,2023-10-12,Lighting,Electrical,High,0,0.0,0.0,MAA
A320_15,2023-10-12,Galley,Software,Medium,1,7.841816410159643,1227.2630468540262,BOM
A320_17,2023-08-24,Lighting,Electrical,Low,0,0.0,0.0,MAA
A320_6,2023-05-27,Seat,Electrical,High,0,0.0,0.0,BOM
A320_6,2023-01-15,IFE,Electrical,High,0,0.0,0.0,BLR
A320_12,2023-10-01,Lighting,Software,Medium,0,0.0,0.0,BLR
A320_8,2023-03-20,Lavatory,Mechanical,Medium,1,7.72972791395849,3168.479575993935,HYD
A320_3,2023-02-15,Seat,Mechanical,Medium,0,0.0,0.0,BLR
A320_20,2023-08-16,Seat,Mechanical,Low,0,0.0,0.0,HYD
A320_2,2023-12-10,Lavatory,Electrical,Low,0,0.0,0.0,MAA
A320_18,2023-04-05,Lavatory,Electrical,Low,0,0.0,0.0,BLR
A320_9,2023-09-24,Lavatory,Electrical,Low,1,1.476527842680324,2897.432059036405,HYD
A320_10,2023-08-30,Lighting,Electrical,Medium,1,5.575300956776228,4424.41408051604,BLR
A320_7,2023-07-13,IFE,Mechanical,Medium,1,8.105573641536287,1080.7361967995694,HYD
A320_11,2023-11-13,Lavatory,Software,Medium,0,0.0,0.0,BLR
A320_7,2023-08-11,Seat,Mechanical,Medium,1,6.4403942720325045,3938.771357113912,BOM
A320_11,2023-03-25,Lighting,Mechanical,Medium,0,0.0,0.0,DEL
A320_9,2023-07-07,IFE,Mechanical,High,0,0.0,0.0,DEL
A320_12,2023-01-25,Galley,Software,Medium,0,0.0,0.0,BOM
A320_4,2023-06-22,Galley,Software,Low,1,6.757723867258323,2541.159010620381,DEL
A320_19,2023-05-30,Galley,Electrical,High,0,0.0,0.0,BOM
A320_19,2023-02-04,Galley,Electrical,Medium,0,0.0,0.0,BLR
A320_17,2023-12-16,Galley,Software,Medium,1,7.55571195139982,2184.9173387955693,HYD
A320_20,2023-06-01,IFE,Electrical,High,1,5.997416381437738,2249.215554028993,MAA
A320_4,2023-03-07,IFE,Mechanical,High,0,0.0,0.0,DEL
A320_12,2023-05-11,Galley,Mechanical,Low,1,7.464573712945169,744.681657123573,HYD
A320_10,2023-01-14,IFE,Software,Low,1,8.616658387011002,2512.1614965953704,HYD
A320_14,2023-08-19,Seat,Mechanical,High,0,0.0,0.0,BLR
A320_2,2023-06-12,Galley,Electrical,High,0,0.0,0.0,BLR
A320_4,2023-10-28,Lavatory,Mechanical,High,1,4.699231550937147,1721.3578786469425,MAA
A320_9,2023-09-14,Galley,Software,Low,0,0.0,0.0,BLR
A320_20,2023-10-11,Seat,Software,Low,0,0.0,0.0,MAA
A320_17,2023-04-30,Lighting,Software,High,0,0.0,0.0,HYD
A320_20,2023-11-30,IFE,Electrical,High,0,0.0,0.0,MAA
A320_1,2023-04-29,Lavatory,Mechanical,Low,1,9.371812666515098,1649.1649143860775,BLR
A320_12,2023-10-03,Galley,Mechanical,High,0,0.0,0.0,BOM
A320_18,2023-10-12,Seat,Software,High,0,0.0,0.0,BOM
A320_12,2023-10-21,Lighting,Software,Medium,0,0.0,0.0,MAA
A320_18,2023-08-22,Lighting,Software,Medium,0,0.0,0.0,MAA
A320_8,2023-06-06,Galley,Software,Medium,0,0.0,0.0,DEL
A320_11,2023-04-24,IFE,Electrical,Medium,0,0.0,0.0,BLR
A320_8,2023-12-11,Lighting,Electrical,Low,0,0.0,0.0,BOM
A320_14,2023-02-22,Galley,Electrical,Medium,1,3.81144983879872,880.5084816897452,BLR
A320_16,2023-09-26,Seat,Electrical,Low,1,3.242513157541062,634.6371956521737,DEL
A320_14,2023-05-12,Lavatory,Mechanical,Medium,0,0.0,0.0,DEL
A320_19,2023-12-31,Lavatory,Electrical,Medium,1,5.67264643062807,128.2174364407957,BLR
A320_7,2023-05-23,Galley,Software,Low,0,0.0,0.0,BLR
A320_17,2023-10-18,Lighting,Mechanical,Medium,0,0.0,0.0,BOM
A320_14,2023-11-26,IFE,Mechanical,Low,0,0.0,0.0,BOM
A320_8,2023-10-31,IFE,Mechanical,Low,0,0.0,0.0,MAA
A320_12,2023-05-13,IFE,Electrical,High,0,0.0,0.0,HYD
A320_11,2023-12-09,IFE,Software,High,0,0.0,0.0,MAA
A320_11,2023-12-02,Galley,Software,Low,1,6.719584273597808,1962.365093792306,HYD
A320_19,2023-10-17,Galley,Electrical,Medium,1,3.4192546667997226,4034.8268993800502,BOM
A320_10,2023-06-07,IFE,Mechanical,Low,0,0.0,0.0,MAA
A320_11,2023-09-20,Lighting,Mechanical,High,0,0.0,0.0,MAA
A320_17,2023-10-25,Lighting,Mechanical,High,0,0.0,0.0,BLR
A320_13,2023-12-28,Lavatory,Electrical,High,0,0.0,0.0,MAA
A320_9,2023-01-26,Seat,Software,Medium,1,2.160347706860083,1867.785343641939,DEL
A320_16,2023-02-18,IFE,Software,Low,1,3.369574767430553,3686.594531169609,HYD
A320_10,2023-12-11,IFE,Software,Medium,0,0.0,0.0,BLR
A320_5,2023-06-24,Seat,Software,Medium,0,0.0,0.0,BLR
A320_17,2023-05-30,Galley,Software,High,0,0.0,0.0,HYD
A320_11,2023-05-18,Seat,Mechanical,Low,0,0.0,0.0,MAA
A320_2,2023-11-16,Lavatory,Software,Low,0,0.0,0.0,DEL
A320_7,2023-08-29,Lavatory,Software,Medium,0,0.0,0.0,BOM
A320_6,2023-02-11,Galley,Mechanical,Low,0,0.0,0.0,BLR
A320_9,2023-05-16,Seat,Software,Medium,0,0.0,0.0,BLR
A320_13,2023-02-18,Lighting,Mechanical,Low,0,0.0,0.0,HYD
A320_8,2023-08-18,IFE,Software,Medium,0,0.0,0.0,HYD
A320_3,2023-12-08,IFE,Software,Medium,0,0.0,0.0,BLR
A320_20,2023-09-21,Lighting,Mechanical,Low,1,2.1653779523977663,3481.023965021262,BLR
A320_10,2023-06-07,Seat,Software,Low,0,0.0,0.0,HYD
A320_3,2023-05-24,Galley,Software,High,1,1.9479521266389657,4963.169160576039,HYD
A320_20,2023-08-19,Seat,Electrical,Medium,0,0.0,0.0,HYD
A320_14,2023-10-19,Seat,Software,Medium,1,3.745907768020748,1966.4566750038373,DEL
A320_9,2023-11-27,Lavatory,Mechanical,High,1,9.452676681471214,4379.349642446854,BOM
A320_15,2023-12-08,Lighting,Electrical,Medium,1,5.260953492229093,2046.176009403134,DEL
A320_10,2023-06-07,Lavatory,Software,Medium,0,0.0,0.0,BLR
A320_3,2023-03-07,Lavatory,Mechanical,High,0,0.0,0.0,DEL
A320_18,2023-09-13,IFE,Electrical,Medium,1,1.75898439104756,4323.870963135851,HYD
A320_1,2023-04-20,Galley,Software,High,0,0.0,0.0,BLR
A320_13,2023-04-27,IFE,Electrical,Medium,1,5.3080217710441335,1239.5016559903625,MAA
A320_13,2023-01-31,Lighting,Mechanical,Low,0,0.0,0.0,HYD
A320_11,2023-09-11,IFE,Software,High,1,4.171377991011898,2865.761344326524,DEL
A320_2,2023-09-24,IFE,Electrical,High,0,0.0,0.0,BLR
A320_9,2023-04-09,Galley,Electrical,Medium,0,0.0,0.0,BOM
A320_16,2023-09-09,Seat,Software,Low,0,0.0,0.0,MAA
A320_20,2023-08-09,Lighting,Mechanical,High,0,0.0,0.0,DEL
A320_20,2023-07-10,Galley,Software,High,0,0.0,0.0,BOM
A320_14,2023-08-17,Galley,Mechanical,Low,0,0.0,0.0,DEL
A320_6,2023-03-20,Galley,Mechanical,High,0,0.0,0.0,DEL
A320_5,2023-03-06,Galley,Electrical,Medium,0,0.0,0.0,DEL
A320_18,2023-06-22,Lighting,Electrical,High,0,0.0,0.0,BLR
A320_20,2023-09-13,Galley,Mechanical,Medium,0,0.0,0.0,HYD
A320_16,2023-09-09,IFE,Software,Low,1,6.333772456254993,4311.869635070034,DEL
A320_13,2023-04-23,Seat,Electrical,Low,1,9.456895843425986,4063.528962018008,MAA
A320_18,2023-11-10,Lighting,Electrical,High,0,0.0,0.0,DEL
A320_8,2023-03-20,Seat,Software,Low,0,0.0,0.0,BOM
A320_12,2023-03-28,Galley,Electrical,Low,0,0.0,0.0,BOM
A320_19,2023-06-01,Seat,Electrical,Low,0,0.0,0.0,DEL
A320_4,2023-05-19,Lighting,Software,High,0,0.0,0.0,BOM
A320_11,2023-09-18,Galley,Mechanical,Medium,0,0.0,0.0,DEL
A320_16,2023-08-08,Seat,Software,Low,0,0.0,0.0,BLR
A320_18,2023-02-18,Lighting,Mechanical,Medium,0,0.0,0.0,BLR
A320_18,2023-09-23,Galley,Software,Medium,0,0.0,0.0,MAA
A320_16,2023-10-15,Lighting,Mechanical,High,0,0.0,0.0,DEL
A320_8,2023-07-02,Seat,Electrical,High,0,0.0,0.0,HYD
A320_18,2023-10-05,Lighting,Mechanical,Low,0,0.0,0.0,HYD
A320_14,2023-04-23,Galley,Software,Medium,0,0.0,0.0,BLR
A320_15,2023-01-18,Galley,Electrical,Medium,0,0.0,0.0,MAA
A320_14,2023-12-26,Lighting,Software,Medium,1,7.655279691177327,1419.7233616799228,HYD
A320_18,2023-09-15,Galley,Electrical,High,0,0.0,0.0,HYD
A320_15,2023-03-29,Lighting,Electrical,Medium,1,5.651253452172559,2992.703683247987,BOM
A320_19,2023-01-23,Galley,Mechanical,High,0,0.0,0.0,HYD
A320_5,2023-04-21,IFE,Mechanical,Low,0,0.0,0.0,HYD
A320_1,2023-04-14,Lavatory,Mechanical,Medium,1,2.4383385289745387,2819.9162515812027,BOM
A320_9,2023-04-22,Galley,Electrical,Medium,0,0.0,0.0,DEL
A320_12,2023-07-28,Seat,Mechanical,Low,1,3.9954371373698025,1701.9649200565875,BOM
A320_6,2023-11-08,Lavatory,Electrical,Medium,1,3.998940539815059,2298.1920916772588,HYD
A320_3,2023-06-03,Galley,Mechanical,Low,1,0.517858893486651,974.025663105916,DEL
A320_4,2023-07-07,Seat,Electrical,Low,0,0.0,0.0,HYD
A320_3,2023-08-04,Galley,Mechanical,High,0,0.0,0.0,HYD
A320_2,2023-06-07,IFE,Software,High,0,0.0,0.0,HYD
A320_17,2023-11-15,Lavatory,Mechanical,Low,1,7.586289483729908,4911.649033186112,MAA
A320_19,2023-06-22,Lighting,Mechanical,High,1,7.487303261631607,1255.7022358040667,HYD
A320_15,2023-11-09,Lighting,Mechanical,Low,0,0.0,0.0,BLR
A320_4,2023-05-28,Lavatory,Software,Medium,0,0.0,0.0,HYD
A320_9,2023-03-31,Galley,Electrical,Low,0,0.0,0.0,DEL
A320_13,2023-04-17,Seat,Mechanical,Medium,0,0.0,0.0,MAA
A320_13,2023-02-20,Galley,Software,Medium,0,0.0,0.0,BOM
A320_19,2023-03-10,Galley,Electrical,Low,0,0.0,0.0,MAA
A320_5,2023-12-22,IFE,Mechanical,High,0,0.0,0.0,DEL
A320_4,2023-11-22,Seat,Mechanical,Medium,1,6.297138920037592,763.2350031606591,HYD
A320_4,2023-08-01,Lighting,Mechanical,Medium,0,0.0,0.0,HYD
A320_14,2023-04-30,IFE,Mechanical,High,0,0.0,0.0,DEL
A320_6,2023-02-13,Seat,Electrical,High,1,1.095205432825868,4541.5435213876135,BLR
